name	type	hostname	homepage	reason
Gabe Evans	rep	gabeevans.house.gov	https://gabeevans.house.gov	akamai_blocked_or_scraper_found_no_candidate
George Latimer	rep	latimer.house.gov	https://latimer.house.gov	akamai_blocked_or_scraper_found_no_candidate
George Whitesides	rep	whitesides.house.gov	https://whitesides.house.gov	akamai_blocked_or_scraper_found_no_candidate
Gilbert Ray Cisneros, Jr.	rep	cisneros.house.gov	https://cisneros.house.gov	akamai_blocked_or_scraper_found_no_candidate
Harriet M. Hageman	rep	hageman.house.gov	https://hageman.house.gov	akamai_blocked_or_scraper_found_no_candidate
Herbert C. Conaway, Jr.	rep	conaway.house.gov	https://conaway.house.gov	akamai_blocked_or_scraper_found_no_candidate
James Gallagher	rep	gallagher.house.gov	https://gallagher.house.gov	no_url_in_dataset_found_via_websearch
James R. Walkinshaw	rep	walkinshaw.house.gov	https://walkinshaw.house.gov	akamai_blocked_or_scraper_found_no_candidate
Janelle S. Bynum	rep	bynum.house.gov	https://bynum.house.gov	akamai_blocked_or_scraper_found_no_candidate
Jeff Crank	rep	crank.house.gov	https://crank.house.gov	akamai_blocked_or_scraper_found_no_candidate
Jeff Hurd	rep	hurd.house.gov	https://hurd.house.gov	akamai_blocked_or_scraper_found_no_candidate
Jefferson Shreve	rep	shreve.house.gov	https://shreve.house.gov	akamai_blocked_or_scraper_found_no_candidate
John J. McGuire III	rep	mcguire.house.gov	https://mcguire.house.gov	akamai_blocked_or_scraper_found_no_candidate
John W. Mannion	rep	mannion.house.gov	https://mannion.house.gov	akamai_blocked_or_scraper_found_no_candidate
Johnny Olszewski, Jr.	rep	olszewski.house.gov	https://olszewski.house.gov	akamai_blocked_or_scraper_found_no_candidate
Josh Riley	rep	riley.house.gov	https://riley.house.gov	akamai_blocked_or_scraper_found_no_candidate
Julie Fedorchak	rep	fedorchak.house.gov	https://fedorchak.house.gov	akamai_blocked_or_scraper_found_no_candidate
Julie Johnson	rep	juliejohnson.house.gov	https://juliejohnson.house.gov	akamai_blocked_or_scraper_found_no_candidate
Kelly Morrison	rep	morrison.house.gov	https://morrison.house.gov	akamai_blocked_or_scraper_found_no_candidate
Kimberlyn King-Hinds	rep	king-hinds.house.gov	https://king-hinds.house.gov	akamai_blocked_or_scraper_found_no_candidate
Kristen McDonald Rivet	rep	mcdonaldrivet.house.gov	https://mcdonaldrivet.house.gov	akamai_blocked_or_scraper_found_no_candidate
Lateefah Simon	rep	simon.house.gov	https://simon.house.gov	akamai_blocked_or_scraper_found_no_candidate
Laura Friedman	rep	friedman.house.gov	https://friedman.house.gov	akamai_blocked_or_scraper_found_no_candidate
Laura Gillen	rep	gillen.house.gov	https://gillen.house.gov	akamai_blocked_or_scraper_found_no_candidate
Luz M. Rivas	rep	rivas.house.gov	https://rivas.house.gov	akamai_blocked_or_scraper_found_no_candidate
Maggie Goodlander	rep	goodlander.house.gov	https://goodlander.house.gov	akamai_blocked_or_scraper_found_no_candidate
Mark B. Messmer	rep	messmer.house.gov	https://messmer.house.gov	akamai_blocked_or_scraper_found_no_candidate
Mark Harris	rep	markharris.house.gov	https://markharris.house.gov	akamai_blocked_or_scraper_found_no_candidate
Marlin A. Stutzman	rep	stutzman.house.gov	https://stutzman.house.gov	akamai_blocked_or_scraper_found_no_candidate
Matt Van Epps	rep	vanepps.house.gov	https://vanepps.house.gov	akamai_blocked_or_scraper_found_no_candidate
Maxine Dexter	rep	dexter.house.gov	https://dexter.house.gov	akamai_blocked_or_scraper_found_no_candidate
Michael A. Rulli	rep	rulli.house.gov	https://rulli.house.gov	akamai_blocked_or_scraper_found_no_candidate
Michael Baumgartner	rep	baumgartner.house.gov	https://baumgartner.house.gov	akamai_blocked_or_scraper_found_no_candidate
Mike Haridopolos	rep	haridopolos.house.gov	https://haridopolos.house.gov	akamai_blocked_or_scraper_found_no_candidate
Mike Kennedy	rep	mikekennedy.house.gov	https://mikekennedy.house.gov	akamai_blocked_or_scraper_found_no_candidate
Nellie Pou	rep	pou.house.gov	https://pou.house.gov	akamai_blocked_or_scraper_found_no_candidate
Nicholas J. Begich III	rep	begich.house.gov	https://begich.house.gov	akamai_blocked_or_scraper_found_no_candidate
Nikema Williams	rep	nikemawilliams.house.gov	https://nikemawilliams.house.gov	akamai_blocked_or_scraper_found_no_candidate
Pablo José Hernández	rep	hernandez.house.gov	https://hernandez.house.gov	akamai_blocked_or_scraper_found_no_candidate
Pat Harrigan	rep	harrigan.house.gov	https://harrigan.house.gov	akamai_blocked_or_scraper_found_no_candidate
Riley M. Moore	rep	rileymoore.house.gov	https://rileymoore.house.gov	akamai_blocked_or_scraper_found_no_candidate
Robert F. Onder, Jr.	rep	onder.house.gov	https://onder.house.gov	akamai_blocked_or_scraper_found_no_candidate
Robert P. Bresnahan, Jr.	rep	bresnahan.house.gov	https://bresnahan.house.gov	akamai_blocked_or_scraper_found_no_candidate
Ryan Mackenzie	rep	mackenzie.house.gov	https://mackenzie.house.gov	akamai_blocked_or_scraper_found_no_candidate
Sam T. Liccardo	rep	liccardo.house.gov	https://liccardo.house.gov	akamai_blocked_or_scraper_found_no_candidate
Sarah Elfreth	rep	elfreth.house.gov	https://elfreth.house.gov	akamai_blocked_or_scraper_found_no_candidate
Sarah McBride	rep	mcbride.house.gov	https://mcbride.house.gov	akamai_blocked_or_scraper_found_no_candidate
Sheri Biggs	rep	sheribiggs.house.gov	https://sheribiggs.house.gov	akamai_blocked_or_scraper_found_no_candidate
Shomari Figures	rep	figures.house.gov	https://figures.house.gov	akamai_blocked_or_scraper_found_no_candidate
Stephanie I. Bice	rep	bice.house.gov	https://bice.house.gov	akamai_blocked_or_scraper_found_no_candidate
Suhas Subramanyam	rep	subramanyam.house.gov	https://subramanyam.house.gov	akamai_blocked_or_scraper_found_no_candidate
Thomas R. Suozzi	rep	suozzi.house.gov	https://suozzi.house.gov	akamai_blocked_or_scraper_found_no_candidate
Tim Moore	rep	timmoore.house.gov	https://timmoore.house.gov	akamai_blocked_or_scraper_found_no_candidate
Tom Barrett	rep	barrett.house.gov	https://barrett.house.gov	akamai_blocked_or_scraper_found_no_candidate
Tony Wied	rep	wied.house.gov	https://wied.house.gov	akamai_blocked_or_scraper_found_no_candidate
Troy Downing	rep	downing.house.gov	https://downing.house.gov	akamai_blocked_or_scraper_found_no_candidate
Vince Fong	rep	fong.house.gov	https://fong.house.gov	akamai_blocked_or_scraper_found_no_candidate
W. Gregory Steube	rep	steube.house.gov	https://steube.house.gov	akamai_blocked_or_scraper_found_no_candidate
Wesley Bell	rep	bell.house.gov	https://bell.house.gov	akamai_blocked_or_scraper_found_no_candidate
Darline Graham	sen	www.dgraham.senate.gov	https://www.dgraham.senate.gov	akamai_blocked_or_scraper_found_no_candidate
